household_code,year,village_,district_,Age_head_,head_female_,Head_educ_,Head_born_village_,Head_belong_Biggest_caste_,Head_marital_status_,Max_HH_educ_,num_of_children_,num_of_male_adults_,num_of_female_adults_,num_of_elders_,aeu_,High_prod_imp_aeu_,low_prod_imp_aeu_,high_non_prod_imp_aeu_,low_non_prod_imp_aeu_,other_implements_aeu_,Total_imp_value_aeu_,Large_livstk_begin_val_aeu_,Small_livstk_begin_val_aeu_,V_small_livstk_begin_val_aeu_,Beehives_begin_val_aeu_,Tot_livstk_begin_val_aeu_,Large_livstk_end_val_aeu_,Small_livstk_end_val_aeu_,V_small_livstk_end_val_aeu_,Beehives_end_val_aeu_,Tot_livstk_end_val_aeu_,Crop_land_sqm_aeu_,Pasture_land_sqm_aeu_,Agroforestry_land_sqm_aeu_,Silvipasture_land_sqm_aeu_,Fallow_land_sqm_aeu_,Forest_land_sqm_aeu_,Land_rented_in_sqm_aeu_,Land_rented_out_sqm_aeu_,Other_land_sqm_aeu_,Total_land_owned_sqm_aeu_,Bank_saving_aeu_,Jewellery_aeu_,debt_aeu_,Serious_crop_fail_,Serious_crop_fail_severe_,Serious_illness_,Serious_illness_severe_,Death_adult_,Death_adult_severe_,land_loss_,Land_loss_severe_,Livestock_loss_,Livestock_loss_severe_,Oth_asset_loss_,Oth_asset_loss_severe_,wage_employ_loss_,wage_employ_loss_severe_,Costly_social_events_,Costly_social_events_severe_,Tot_for_inc_aeu_,For_cash_inc_aeu_,Tot_nonfor_env_inc_aeu_,Nonfor_env_cash_inc_aeu_,Forest_service_inc_aeu_,FUG_payment_inc_aeu_,Wage_forest_env_inc_aeu_,Tot_env_inc_aeu_,Env_cash_inc_aeu_,Tot_crop_inc_aeu_,Crop_cash_inc_aeu_,Tot_live_inc_aeu_,Live_cash_inc_aeu_,Remit_inc_aeu_,Gov_service_inc_aeu_,Gifts_inc_aeu_,Pension_inc_aeu_,Tot_suppot_inc_aeu_,Land_rent_out_inc_aeu_,Compensation_inc_aeu_,other_inc_aeu_,Tot_other_inc_aeu_,Biz_inc_aeu_,Wage_agri_inc_aeu_,Wage_unskll_off_farm_inc_aeu_,Wage_skill_off_farm_inc_aeu_,Other_wage_inc_aeu_,Tot_wage_inc_aeu_,Total_inc_aeu_,Total_cash_inc_aeu_
1023132,2006,Chainpur,Chitwan,66,0,5,0,1,1,10,5,4,3,1,10.88,9191.176471,110.2941176,2757.352941,919.1176471,0,12977.94118,643.3823529,1608.455882,151.6544118,0,2403.4927,643.3823529,1884.191176,225.1838235,0,2752.7573,77.81020221,0,0,0,0,0,217.8685662,0,15.56204044,93.37224265,32.16911765,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,497.9779412,0,0,0,0,0,0,497.97794,0,671.875,0,314.2463235,0,3354.779412,0,0,8272.058824,8272.0586,0,0,0,0,-4136.029412,101.1029412,0,0,0,101.10294,9076.011029,7591.911765
1021054,2006,Hemja,Kaski,34,0,12,1,1,1,12,1,1,1,0,2.36,35381.35593,0,18640.25424,25402.54237,0,79424.15254,0,0,0,0,0,0,0,0,0,0,754.5762712,0,0,0,0,0,0,0,40.42372881,795,127118.6441,0,127118.6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302.966102,0,0,0,0,0,0,1302.9661,0,201.6949153,0,0,0,0,0,0,29661.01695,29661.018,0,0,0,0,1906.779661,0,0,0,0,0,33072.45763,31567.79661
10125119,2006,Kunjo,Mustang,56,0,0,0,0,1,6,2,1,2,0,3.72,0,0,0,1612.903226,0,1612.903226,13790.32258,376.344086,672.0430108,268.8172043,15107.527,13790.32258,376.344086,470.4301075,268.8172043,14905.914,3760.860215,0,0,0,376.0752688,0,0,0,43.01075269,4179.946237,1075.268817,0,26881.72043,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21125,773.4604106,1637.096774,0,0,0,0,22762.098,773.46039,4477.150538,0,17096.77419,1322.96467,57795.69892,0,0,0,0,268.8172043,0,0,268.8172,0,0,0,1741.935484,0,1741.9354,104142.4731,61902.87669
1021088,2006,Hemja,Kaski,46,0,10,1,1,1,11,1,2,1,0,3.64,0,0,11538.46154,4093.406593,0,15631.86813,54945.05495,2197.802198,1538.461538,0,58681.32,59065.93407,2197.802198,2802.197802,0,64065.934,1537.401099,0,139.7637363,0,139.7637363,0,0,0,419.2912088,2236.21978,0,0,2472.527473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4248.626374,0,4500,0,0,0,0,8748.626,0,7394.642857,2502.415509,3948.901099,1241.40242,0,0,0,11950.54945,11950.55,0,0,0,0,0,164.8351648,0,0,0,164.83516,32207.55495,15859.20255
1021055,2006,Hemja,Kaski,56,0,12,1,1,1,12,4,3,3,0,7.84,12755.10204,510.2040816,4145.408163,3380.102041,0,20790.81633,36989.79592,0,0,0,36989.797,43367.34694,0,0,0,43367.348,3179.625,0,0,0,0,0,0,259.5612245,389.3418367,3568.966837,5102.040816,0,12755.10204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,101.4030612,0,1588.010204,0,0,0,0,1689.4132,0,12190.81633,833.9390309,7141.581633,1732.342422,0,0,0,8801.020408,8801.0205,153.0612245,0,0,153.06122,19132.65306,0,0,0,497.4489796,497.44897,49605.9949,31150.46513
1023147,2006,Chainpur,Chitwan,43,0,2,1,1,1,6,0,2,1,1,3.8,2631.578947,789.4736842,4868.421053,5578.947368,3947.368421,17815.78947,44678.94737,0,2815.789474,0,47494.738,44300,0,2684.210526,0,46984.211,2495.168421,0,0,0,0,0,0,0,178.2263158,2673.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.7368421,0,588.1578947,0,0,0,0,982.89471,0,11934.47368,8113.877583,6740.526316,3103.381017,0,0,0,0,0,0,0,3947.368421,3947.3684,0,0,0,0,0,0,23605.26316,15164.62702
1023046,2006,Chainpur,Chitwan,35,0,9,1,0,1,9,4,1,1,0,4.12,0,242.7184466,0,242.7184466,0,485.4368932,25728.15534,728.1553398,655.3398058,0,27111.65,25728.15534,728.1553398,364.0776699,0,26820.389,493.1504854,0,0,0,0,0,0,0,82.19174757,575.342233,0,0,7281.553398,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1456.31068,0,356.7961165,0,0,0,1310.679612,3123.7864,1310.6796,2871.359223,64.03483724,5166.747573,3125.65487,0,0,776.6990291,1699.029126,2475.7283,0,0,0,0,22936.8932,1565.533981,0,0,0,1565.5339,38140.04854,31478.52466
10111020,2006,Lete,Mustang,49,0,0,0,0,1,8,2,3,4,0,8.36,0,622.0095694,0,1555.023923,0,2177.033493,0,0,3145.933014,95.6937799,3241.6267,0,0,3397.129187,95.6937799,3492.823,502.0454545,0,0,0,502.0454545,0,0,0,53.8277512,1057.91866,0,9078.947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6590.311005,0,1449.760766,1106.45933,0,0,0,8040.0718,1106.4594,-782.2966507,0,4367.22488,358.8516746,6578.947368,0,0,2153.110048,2153.1101,0,0,0,0,1291.736842,0,0,717.7033493,0,717.70337,22366.49761,12206.80861
1023202,2006,Chainpur,Chitwan,48,0,0,0,1,1,10,2,2,3,0,6.56,0,838.4146341,0,685.9756098,0,1524.390244,14253.04878,6478.658537,457.3170732,0,21189.023,14222.56098,9146.341463,1493.902439,0,24862.805,903.3574695,0,25.81021341,0,0,0,0,0,0,929.1676829,0,0,5335.365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605.640244,0,2057.926829,0,0,0,0,3663.5671,0,6468.75,0,4971.646341,0,152439.0244,0,0,4344.512195,4344.5122,0,0,0,0,0,0,0,0,0,0,171887.5,156783.5366
10124004,2006,Kunjo,Mustang,51,0,2,1,1,1,6,2,1,1,0,3.52,0,142.0454545,0,795.4545455,0,937.5,224034.0909,0,7457.386364,0,231491.48,224034.0909,0,6931.818182,0,230965.91,2167.897727,0,0,0,1445.255682,2167.897727,0,0,56.81818182,5837.869318,0,51136.36364,17045.45455,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16713.92045,0,903.4090909,0,0,0,7350.852273,24968.182,7350.8521,5122.159091,0,8063.920455,565.8891547,0,0,0,0,0,0,0,0,0,77208.1875,0,0,0,0,0,115362.4489,85124.92893
